	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	alpha	0.7336	0.1183	0.01265	0.4848	0.7455	0.9264	1	1000
	beta1	-0.1612	0.009171	9.44E-4	-0.1774	-0.1619	-0.1433	1	1000
	beta2	0.00163	1.222E-4	1.099E-5	0.001413	0.001622	0.001885	1	1000
	p[1]	0.9404	0.005679	3.125E-4	0.9296	0.9404	0.9513	1	1000
	p[2]	0.7991	0.007512	4.523E-4	0.785	0.7993	0.8134	1	1000
	p[3]	0.6964	0.009979	8.772E-4	0.6745	0.6966	0.7139	1	1000
	p[4]	0.6231	0.01109	9.971E-4	0.6	0.6238	0.642	1	1000
	p[5]	0.5522	0.01173	0.001025	0.528	0.553	0.5728	1	1000
	p[6]	0.5056	0.01091	8.459E-4	0.4833	0.5061	0.5259	1	1000
	p[7]	0.4589	0.01021	6.566E-4	0.4387	0.4592	0.4779	1	1000
	p[8]	0.4101	0.009828	4.868E-4	0.3902	0.4103	0.4284	1	1000
	p[9]	0.3653	0.009584	3.248E-4	0.347	0.3655	0.3826	1	1000
	p[10]	0.3423	0.009438	2.141E-4	0.3244	0.3423	0.3585	1	1000
	p[11]	0.295	0.009687	2.758E-4	0.2768	0.2951	0.3117	1	1000
	p[12]	0.2595	0.009967	3.897E-4	0.241	0.2595	0.2758	1	1000
	p[13]	0.2246	0.01014	4.81E-4	0.2063	0.2245	0.2415	1	1000
	p[14]	0.196	0.01031	5.734E-4	0.1778	0.1958	0.2132	1	1000
	p[15]	0.18	0.01096	7.31E-4	0.1615	0.1795	0.1983	1	1000
	p[16]	0.1562	0.01096	7.794E-4	0.1383	0.1554	0.1743	1	1000
	p[17]	0.1354	0.01086	8.107E-4	0.1182	0.1344	0.1528	1	1000
	p[18]	0.1104	0.01	7.422E-4	0.09511	0.1096	0.1262	1	1000
	p[19]	0.09632	0.009836	7.59E-4	0.08163	0.09549	0.1115	1	1000
	p[20]	0.01943	0.005197	4.153E-4	0.01387	0.01891	0.02626	1	1000
